N/A,Pinyin,Definition,Radical,stroke_count,hsk_level,id_in_standard_specification,frequency_rank,converted_pinyin,raw_pinyin
赖,lài,rely/depend on/accuse falsely,貝,13,6,2872,1365.0,lai4,lai
仰,yǎng,raise the head to look/look up to/rely on/admire,人,6,6,473,1368.0,yang3,yang
艇,tǐng,small boat/dugout/punt,舟,12,6,2706,1372.0,ting3,ting
凶,xiōng,culprit/murder/bad/sad,凵,4,6,145,1378.0,xiong1,xiong
署,shǔ,public office,网,13,6,2930,1379.0,shu3,shu
御,yù,drive/ride/chariot/manage,彳,12,6,2704,1381.0,yu4,yu
奉,fèng,offer/receive/serve/respect,大,8,6,943,1382.0,feng4,feng
旋,xuán,revolve/move in orbit/return,方,11,6,2393,1383.0,xuan2,xuan
晨,chén,early morning/daybreak,日,11,6,2260,1388.0,chen2,chen
伏,fú,crouch/crawl/lie hidden/conceal,人,6,6,460,1389.0,fu2,fu
隆,lóng,prosperous/plentiful/abundant,阜,11,6,2479,1400.0,long2,long
奴,nú,slave/servant,女,5,6,333,1402.0,nu2,nu
丧,sàng,mourning/mourn/funeral,十,8,6,1034,1404.0,sang1,sang
渡,dù,cross/ferry over/ferry,水,12,6,2765,1406.0,du4,du
旗,qí,banner/flag/streamer,方,14,6,3152,1407.0,qi2,qi
甘,gān,sweetness/sweet/tasty,甘,5,6,205,1408.0,gan1,gan
扎,zhā,pull up/pierce/struggle free,手,4,6,85,1411.0,zha1,zha
梁,liáng,bridge/beam/rafters/surname,木,11,6,2436,1416.0,liang2,liang
皆,jiē,all/every/everybody,白,9,6,1465,1419.0,jie1,jie
宙,zhòu,time as concept/infinite time,宀,8,6,1280,1421.0,zhou4,zhou
岩,yán,cliff/rocks/mountain,山,8,6,1106,1423.0,yan2,yan
荡,dàng,pond/pool/wash away/cleanse,艸,9,6,1414,1424.0,dang4,dang
蒂,dì,peduncle or stem of plants,艸,12,6,2556,1429.0,di4,di
井,jǐng,well/mine shaft/pit,二,4,6,77,1431.0,jing3,jing
壮,zhuàng,big/large/robust/name of tribe,士,6,6,510,1432.0,zhuang4,zhuang
殖,zhí,breed/spawn/increase/prosper,歹,12,6,2594,1438.0,zhi2,zhi
霍,huò,quickly/suddenly/surname,雨,16,6,3337,1442.0,huo4,huo
撒,sā,release/cast away/let go/disperse/relax,手,15,6,3192,1445.0,sa1,sa
液,yè,sap/juice/liquid/fluid,水,11,6,2428,1451.0,ye4,ye
番,fān,to take turns/a turn/a time/to repeat,田,12,6,2709,1452.0,fan1,fan
郎,láng,gentleman/young man/husband,邑,8,6,1287,1457.0,lang2,lang
忧,yōu,sad/grieved/grief/melancholy,心,7,6,874,1461.0,you1,you
浮,fú,to float/drift/waft/to exceed/superfluous,水,10,6,2077,1462.0,fu2,fu
艘,sōu,counter for ships/vessels,舟,15,6,3273,1470.0,sao1,sao
伍,wǔ,five/company of five/troops,人,6,6,459,1472.0,wu3,wu
峰,fēng,peak/summit/hump of camel,山,10,6,1921,1473.0,feng1,feng
黎,lí,surname/numerous/many/black,黍,15,6,3262,1476.0,li2,li
贯,guàn,a string of 1000 coins/to go through,貝,8,6,1351,1478.0,guan4,guan
侦,zhēn,spy/reconnoiter/detective,人,8,6,1145,1479.0,zhen1,zhen
券,quàn,certificate/ticket/title deeds,刀,8,6,1230,1481.0,quan4,quan
崇,chóng,esteem/honor/revere/venerate,山,11,6,2299,1482.0,chong2,chong
宪,xiàn,constitution/statute/law,宀,9,6,1699,1484.0,xian4,xian
慈,cí,kind/charitable/benevolent,心,13,6,3002,1487.0,ci2,ci
枝,zhī,branches/limbs/branch off,木,8,6,1019,1491.0,zhi1,zhi
拖,tuō,drag/tow/haul/delay/prolong,手,8,6,968,1492.0,tuo1,tuo
墨,mò,ink/writing,土,15,6,3255,1493.0,mo4,mo
箭,jiàn,arrow/type of bamboo,竹,15,6,3267,1496.0,jian4,jian
泥,ní,mud/mire/earth/clay/plaster,水,8,6,1258,1499.0,ni2,ni
粉,fěn,powder/face powder/plaster,米,10,6,2053,1498.0,fen3,fen
氏,shì,clan/family/mister,氏,4,6,151,1500.0,shi4,shi
拔,bá,uproot/pull out,手,8,6,959,1502.0,ba2,ba
愤,fèn,resent/hate/indignant,心,12,6,2770,1508.0,fen4,fen
扑,pū,pound/beat/strike/attack,手,5,6,199,1509.0,pu1,bu
驱,qū,spur a horse on/expel/drive away,馬,7,6,930,1511.0,qu1,qu
掩,yǎn,to cover (with the hand)/shut/conceal/ambush,手,11,6,2166,1514.0,yan3,yan
尸,shī,corpse/to impersonate the dead/to preside/KangXi radical 44,尸,3,6,59,1517.0,shi1,shi
堡,bǎo,fort/fortress/town/village,土,12,6,2693,1521.0,bao3,bao
储,chǔ,save money/store/reserve/heir,人,12,6,2697,1526.0,chu3,chu
桑,sāng,mulberry tree/surname,木,10,6,2149,1528.0,sang1,sang
惨,cǎn,sad/pitiful/wretched/cruel,心,11,6,2449,1530.0,can3,can
洁,jié,clean/purify/pure,水,9,6,1663,1531.0,jie2,ji
踪,zōng,footprints/traces/tracks,足,15,6,3244,1532.0,zong1,zong
勃,bó,suddenly/sudden/quick,力,9,6,1440,1533.0,bo2,bo
仇,chóu,enemy/hate/hatred/enmity,人,4,6,133,1536.0,chou2,chou
磨,mó,grind/polish/rub/wear out/a millstone,石,16,6,3367,1537.0,mo2,mo
拟,nǐ,draft/intend/plan/propose,手,7,6,657,1541.0,ni3,ni
奏,zòu,memorialize emperor/report,大,9,6,1354,1543.0,zou4,zou
巡,xún,patrol/go on circuit/cruise,巛,6,6,598,1544.0,xun2,xun
剂,jì,medicinal preparation,刀,8,6,1216,1546.0,ji4,ji
坡,pō,slope/bank/hillside,土,8,6,989,1550.0,po1,po
截,jié,cut off/stop/obstruct/intersect,戈,14,6,3059,1552.0,jie2,jie
焦,jiāo,burned/scorched/anxious/vexed,火,12,6,2695,1554.0,jiao1,jiao
殿,diàn,hall/palace/temple,殳,13,6,3036,1555.0,dian4,dian
伪,wěi,false/counterfeit/bogus,人,6,6,476,1556.0,wei3,wei
逼,bī,compel/pressure/force/bother,辵,12,6,2582,1559.0,bi1,bi
颇,pō,lean one side/very/rather,頁,11,6,2484,1560.0,po3,po
昏,hūn,dusk/nightfall/twilight/dark,日,8,6,1193,1561.0,hun1,hun
呈,chéng,submit/show/appear/petition,口,7,6,716,1563.0,cheng2,cheng
牧,mù,tend cattle/shepherd,牛,8,6,1126,1580.0,mu4,mu
牲,shēng,sacrificial animal/animal,牛,9,6,1544,1582.0,sheng1,sheng
佳,jiā,good/auspicious/beautiful/delightful,人,8,6,1135,1583.0,jia1,jia
稿,gǎo,draft/manuscript/rough copy,禾,15,6,3263,1587.0,gao3,gao
腹,fù,stomach/belly/abdomen/inside,肉,13,6,2972,1589.0,fu4,fu
跌,diē,stumble/slip/fall down/stamp,足,12,6,2630,1590.0,die1,die
垂,chuí,let down/suspend/hand/down,土,8,6,1125,1592.0,chui2,chui
脉,mài,blood vessels/veins/arteries,肉,9,6,1597,1594.0,mai4,mai
狱,yù,prison/jail/case/lawsuit,犬,9,6,1605,1597.0,yu4,yu
惑,huò,confuse/mislead/baffle/doubt,心,12,6,2581,1600.0,huo4,huo
陶,táo,pottery/ceramics,阜,10,6,2137,1601.0,tao2,tao
兽,shòu,beast/animal/bestial,八,11,6,2407,1602.0,shou4,shou
帐,zhàng,tent/screen/mosquito net,巾,7,6,755,1603.0,zhang4,zhang
昌,chāng,light of sun/good/proper,日,8,6,1084,1606.0,chang1,chang
铺,pù,shop/store/place sleep/bed,金,12,6,2657,1613.0,pu1,pu
惧,jù,fear/be afraid of/dread,心,11,6,2442,1616.0,ju4,ju
盗,dào,rob/steal/thief/bandit,皿,11,6,2388,1619.0,dao4,dao
辉,huī,brightness/luster/brilliance,小,12,6,2606,1623.0,hui1,hui
扣,kòu,knock/strike/rap/tap/button,手,6,6,357,1625.0,kou4,kou
嘛,ma,final exclamatory particle,口,14,6,3110,1628.0,ma5,ma
董,dǒng,direct/supervise/surname,艸,12,6,2551,1629.0,dong3,dong
迁,qiān,move/shift/change/transfer/relocate a capital city,辵,6,6,451,1630.0,qian1,qian
凝,níng,coagulate/congeal/freeze,冫,16,6,3370,1631.0,ning2,ning
腾,téng,fly/gallop/run/prance/rise,肉,13,6,2975,1635.0,teng2,teng
埋,mái,bury/secrete/conceal,土,10,6,1794,1640.0,mai2,mai
涌,yǒng,surge up/bubble up/gush forth,水,10,6,2089,1642.0,yong3,yong
辖,xiá,linchpin of wheel/control,車,14,6,3096,1643.0,xia2,xia
晋,jìn,advance/increase/promote,日,10,6,1828,1645.0,jin4,jin
狠,hěn,vicious/cruel/severely/extreme,犬,9,6,1606,1654.0,hen3,hen
鉴,jiàn,mirror/looking glass/reflect,金,13,6,2894,1655.0,jian4,jian
械,xiè,weapons/implements/instruments,木,11,6,2219,1657.0,xie4,jie
赤,chì,,赤,7,6,631,1660.0,chi4,chi
割,gē,cut/divide/partition/cede,刀,12,6,2779,1665.0,ge1,ge
揭,jiē,raise/lift up/surname,手,12,6,2522,1666.0,jie1,jie
悟,wù,to apprehend/realize/become aware,心,10,6,2091,1668.0,wu4,wu
锋,fēng,point of spear/sharp point,金,12,6,2664,1671.0,feng1,feng
祥,xiáng,good luck/good omen/happiness,示,10,6,2119,1674.0,xiang2,xiang
阔,kuò,broad/ample/wide/be apart,門,12,6,2737,1675.0,kuo4,kuo
誉,yù,fame/reputation/praise,言,13,6,3024,1676.0,yu4,yu
筹,chóu,chip/tally/token/raise money,竹,13,6,2952,1677.0,chou2,chou
丛,cóng,bush/shrub/thicket/collection,一,5,6,281,1678.0,cong2,cong
牵,qiān,drag/pull/lead by hand,大,9,6,1458,1679.0,qian1,qian
鸣,míng,cry of bird or animal/make sound,口,8,6,1100,1680.0,ming2,ming
旨,zhǐ,purpose/aim/excellent,日,6,6,501,1685.0,zhi3,zhi
袖,xiù,sleeve/put something in sleeve,衣,10,6,2116,1686.0,xiu4,xiu
猎,liè,hunt/field sports,犬,11,6,2366,1687.0,lie4,xi
臂,bì,arm,肉,17,6,3434,1688.0,bi4,bi
柱,zhù,pillar/post/support/lean on,木,9,6,1435,1691.0,zhu4,zhu
抛,pāo,throw (away),手,7,6,642,1692.0,pao1,pao
牢,láo,prison/stable/pen/secure,牛,7,6,880,1696.0,lao2,lao
逊,xùn,humble/modest/yield,辵,9,6,1728,1697.0,xun4,xun
迈,mài,take a big stride/pass by,辵,6,6,408,1698.0,mai4,mai
欺,qī,cheat/double-cross/deceive,欠,12,6,2543,1699.0,qi1,qi
衰,shuāi,decline/falter/decrease/weaken,衣,10,6,2019,1702.0,shuai1,shuai
诱,yòu,persuade/entice/induce/guide,言,9,6,1715,1707.0,you4,you
狼,láng,wolf,犬,10,6,2005,1708.0,lang2,lang
仗,zhàng,rely upon/protector/fight/war/weaponry,人,5,6,270,1712.0,zhang4,zhang
粒,lì,grain/small particle,米,11,6,2404,1714.0,li4,li
遥,yáo,far away/distant/remote,辵,13,6,2967,1715.0,yao2,yao
抚,fǔ,pat/console/comfort/pacify,手,7,6,613,1720.0,fu3,fu
纠,jiū,investigate/inspect,糸,5,6,344,1723.0,jiu1,jiu
钻,zuān,drill/bore/pierce/diamond,金,10,6,1930,1724.0,zuan4,zuan
晶,jīng,crystal/clear/bright/radiant,日,12,6,2620,1725.0,jing1,jing
岂,qǐ,how? what?,山,6,6,439,1726.0,qi3,qi
峡,xiá,gorge/strait/ravine/isthmus,山,9,6,1518,1727.0,xia2,xia
苍,cāng,blue/green,艸,7,6,669,1728.0,cang1,cang
耗,hào,consume/use up/waste/squander,耒,10,6,1768,1730.0,hao4,hao
菌,jūn,mushroom/germ/microbe,艸,11,6,2205,1733.0,jun1,jun
粹,cuì,pure/unadulterated/select,米,14,6,3154,1736.0,cui4,cui
扁,biǎn,flat/tablet/signboard,戶,9,6,1708,1737.0,bian3,bian
循,xún,obey/comply with/follow,彳,12,6,2705,1744.0,xun2,xun
赋,fù,tax/give/endow/army/diffuse,貝,12,6,2650,1747.0,fu4,fu
抑,yì,press down/repress/curb/hinder,手,7,6,641,1748.0,yi4,yi
哀,āi,sad/mournful/pitiful/pity,口,9,6,1619,1751.0,ai1,ai
踏,tà,step on/trample/tread on/walk,足,15,6,3242,1753.0,ta4,ta
恒,héng,constant/regular/persistent,心,9,6,1685,1764.0,heng2,heng
纽,niǔ,knot/button/handle/knob/tie,糸,7,6,942,1767.0,niu3,niu
纹,wén,line/streak/stripe/wrinkle,糸,7,6,939,1768.0,wen2,wen
渔,yú,to fish/seize/pursue/surname,水,11,6,2425,1770.0,yu2,yu
磁,cí,magnetic/magnetism/porcelain,石,14,6,3093,1771.0,ci2,ci
铜,tóng,copper/brass/bronze,金,11,6,2306,1772.0,tong2,tong
跨,kuà,straddle/bestride/ride/carry,足,13,6,2913,1774.0,kua4,kua
怖,bù,terror/fear/frighten/terrified,心,8,6,1267,1776.0,bu4,bu
叛,pàn,rebel/rebellion/rebellious,又,9,6,1644,1779.0,pan4,pan
遣,qiǎn,send/dispatch/send off/exile,辵,13,6,2921,1780.0,qian3,qian
弥,mí,extensive/full/fill/complete,弓,8,6,1313,1785.0,mi2,mi
稀,xī,rare/unusual/scarce/sparse,禾,12,6,2678,1788.0,xi1,xi
捷,jié,win/victory/triumph,手,11,6,2167,1789.0,jie2,jie
疫,yì,epidemic/plague/pestilence,疒,9,6,1627,1791.0,yi4,yi
肿,zhǒng,swell/swollen/swelling,肉,8,6,1183,1792.0,zhong3,zhong
削,xuē,scrape off/pare/trim,刀,9,6,1475,1794.0,xue1,xue
岗,gǎng,post/position,山,7,6,754,1795.0,gang3,gang
晃,huǎng,bright/dazzling/to sway/shake,日,10,6,1893,1796.0,huang3,huang
吞,tūn,swallow/absorb/annex/engulf,口,7,6,607,1797.0,tun1,tun
宏,hóng,wide/spacious/great/vast,宀,7,6,879,1798.0,hong2,hong
癌,ái,cancer/marmoset,疒,17,6,3425,1799.0,ai2,yan
隶,lì,subservient/servant/KangXi radical 171,隶,8,6,1305,1801.0,li4,li
履,lǚ,footwear/shoes/walk on/tread,尸,15,6,3312,1802.0,lv3,lu
耀,yào,shine/sparkle/dazzle/glory,羽,20,6,3476,1804.0,yao4,yao
扭,niǔ,turn/twist/wrench/seize/grasp,手,7,6,653,1805.0,niu3,niu
坛,tán,altar/arena/examination hall,土,7,6,614,1806.0,tan2,tan
拨,bō,move/dispel/distribute,手,8,6,991,1807.0,bo1,bo
沃,wò,water/irrigate/fertile/rich,水,7,6,862,1808.0,wo4,wo
绘,huì,draw/sketch/paint,糸,9,6,1757,1809.0,hui4,hui
伐,fá,cut down/subjugate/attack,人,6,6,463,1810.0,fa2,fa
堪,kān,adequately capable of/worthy of,土,12,6,2509,1811.0,kan1,kan
牺,xī,sacrifice/give up/sacrificial,牛,10,6,1939,1814.0,xi1,xi
墓,mù,grave/tomb,土,13,6,2853,1816.0,mu4,mu
雇,gù,employ/to hire,隹,12,6,2789,1817.0,gu4,gu
廉,lián,upright/honorable/honest,广,13,6,2992,1818.0,lian2,lian
惩,chéng,punish/reprimand/warn,心,12,6,2703,1821.0,cheng2,cheng
捉,zhuō,grasp/clutch/catch/seize,手,10,6,1795,1822.0,zhuo1,zhuo
覆,fù,cover/tip over/return/reply,襾,18,6,3440,1823.0,fu4,fu
劫,jié,take by force/coerce/disaster,力,7,6,660,1825.0,jie2,jie
嫌,xián,hate/detest/suspect/criticize,女,13,6,3041,1826.0,xian2,xian
雕,diāo,engrave/inlay/carve/exhaust/used for 鵰 an eagle/vulture,隹,16,6,3365,1829.0,diao1,diao
闷,mèn,gloomy/depressed/melancholy,門,7,6,848,1830.0,men4,men
乳,rǔ,breast/nipples/milk/suckle,乙,8,6,1175,1831.0,ru3,ru
串,chuàn,string/relatives/conspire,丨,7,6,736,1832.0,chuan4,chuan
娃,wá,baby/doll/pretty girl,女,9,6,1735,1833.0,wa2,wa
缴,jiǎo,deliver/submit/hand over,糸,16,6,3387,1834.0,jiao3,jiao
唤,huàn,call,口,10,6,1911,1835.0,huan4,huan
霸,bà,rule by might rather than right,雨,21,6,3489,1838.0,ba4,ba
妥,tuǒ,satisfactory/appropriate,女,7,6,799,1840.0,tuo3,tuo
搭,dā,join together/attach to/add to,手,12,6,2511,1842.0,da1,da
赴,fù,go to/attend/be present,走,9,6,1377,1843.0,fu4,fu
岳,yuè,mountain peak/surname,山,8,6,1137,1844.0,yue4,yue
舱,cāng,hold of ship/cabin,舟,10,6,1979,1846.0,cang1,cang
庞,páng,disorderly/messy/huge/big,广,8,6,1207,1849.0,pang2,pang
耕,gēng,plow/cultivate,耒,10,6,1766,1850.0,geng1,geng
锐,ruì,sharp/keen/acute/pointed,金,12,6,2666,1851.0,rui4,rui
缝,fèng,sew/mend,糸,13,6,3045,1852.0,feng2,feng
宅,zhái,residence/dwelling/home/grave,宀,6,6,547,1858.0,zhai2,zhai
斥,chì,to scold/upbraid/accuse/reproach,斤,5,6,278,1857.0,chi4,chi
添,tiān,append/add to/increase,水,11,6,2411,1859.0,tian1,tian
挖,wā,dig/dig out/gouge out/scoop,手,9,6,1394,1860.0,wa1,wa
呵,ā,scold/laughing sound/yawn,口,8,6,1085,1861.0,he1,he
讼,sòng,accuse/argue/dispute/litigate,言,6,6,557,1862.0,song4,song
氧,yǎng,oxygen,气,10,6,1936,1863.0,yang3,yang
酷,kù,strong/stimulating/very,酉,14,6,3087,1867.0,ku4,ku
掠,lüè,rob/ransack/plunder/pass by,手,11,6,2182,1868.0,lve4,lue
祸,huò,misfortune/calamity/disaster,示,11,6,2465,1870.0,huo4,huo
贪,tān,be greedy/covet/covetous,貝,8,6,1176,1874.0,tan1,tan
悬,xuán,hang/suspend/hoist/be hung,心,11,6,2264,1879.0,xuan2,xuan
唇,chún,lips,口,10,6,1861,1880.0,chun2,chun
仓,cāng,granary/berth/sea,人,4,6,149,1882.0,cang1,cang
轨,guǐ,track/rut/path,車,6,6,404,1883.0,gui3,gui
枚,méi,stalk of shrub/trunk of tree,木,8,6,1023,1884.0,mei2,mei
庙,miào,temple/shrine/imperial court,广,8,6,1210,1889.0,miao4,miao
屏,píng,folding screen/shield,尸,9,6,1724,1891.0,ping2,ping
寺,sì,court/office/temple/monastery,寸,6,6,355,1892.0,si4,si
愚,yú,stupid/doltish/foolish,心,13,6,2905,1895.0,yu2,yu
疏,shū,neglect/careless/lax,疋,12,6,2804,1897.0,shu1,shu
颤,chàn,shiver/tremble/trembling,頁,19,6,3465,1900.0,zhan4,zhan
寸,cùn,inch/small/tiny/KangXi radical 41,寸,3,6,31,1904.0,cun4,cun
盯,dīng,rivet gaze upon/keep eyes on,目,7,6,715,1906.0,ding1,cheng
辱,rǔ,humiliate/insult/abuse,辰,10,6,1860,1907.0,ru3,ru
辨,biàn,distinguish/discriminate,辛,16,6,3371,1910.0,bian4,bian
哦,ó,oh? really? is that so?,口,10,6,1908,1913.0,e2,e
腔,qiāng,chest cavity/hollow in body,肉,12,6,2715,1914.0,qiang1,qiang
郁,yù,sweet smelling/rich in aroma/(Cant.) to move/hit,邑,8,6,1043,1915.0,yu4,yu
溃,kuì,flooding river/militarily defeat,水,12,6,2759,1916.0,kui4,kui
忌,jì,jealous/envious/fear,心,7,6,910,1922.0,ji4,ji
溜,liū,slide/glide/slip/slippery,水,13,6,3013,1923.0,liu1,liu
笼,lóng,cage/cage-like basket,竹,11,6,2318,1928.0,long2,long
丘,qiū,hill/elder/empty/a name,一,5,6,268,1929.0,qiu1,qiu
滋,zī,grow/multiply/increase/thrive,水,12,6,2767,1931.0,zi1,zi
壳,ké,casing/shell/husk,士,7,6,650,1937.0,ke2,ke
痕,hén,scar/mark/trace,疒,11,6,2383,1938.0,hen2,hen
穴,xué,cave/den/hole/KangXi radical 116,穴,5,6,313,1940.0,xue2,xue
卓,zhuō,profound/brilliant/lofty,十,8,6,1070,1942.0,zhuo1,zhuo
贤,xián,virtuous/worthy/good/able,貝,8,6,1074,1943.0,xian2,xian
膜,mó,membrane/to kneel and worship,肉,14,6,3132,1945.0,mo4,mo
毅,yì,resolute/decisive/firm/persist,殳,15,6,3286,1946.0,yi4,yi
锦,jǐn,brocade/tapestry/embroidered,金,13,6,2942,1947.0,jin3,jin
茫,máng,vast/boundless/widespread,艸,9,6,1413,1951.0,mang2,mang
昂,áng,rise/raise/proud/bold/upright,日,8,6,1090,1952.0,ang2,ang
皱,zhòu,wrinkles/creases/folds,皮,10,6,2011,1954.0,zhou4,zhou
舌,shé,tongue/clapper of bell/KangXi radical 135,舌,6,6,449,1958.0,she2,she
剥,bō,peel,刀,10,6,2129,1959.0,bo1,bo
窝,wō,nest/cave/den/hiding place,穴,12,6,2784,1962.0,wo1,wo
携,xié,lead by hand/take with/carry,手,13,6,2839,1964.0,xie2,xi
陵,líng,hill/mound/mausoleum,阜,10,6,2135,1965.0,ling2,ling
哼,hēng,hum/sing softly/groan/moan/(Cant.) an interjecting indicating disapproval,口,10,6,1913,1966.0,heng1,heng
棉,mián,cotton/cotton padded,木,12,6,2574,1967.0,mian2,mian
饲,sì,raise animals/feed/nourish,食,8,6,1203,1971.0,si4,si
逆,nì,disobey/rebel/rebel/traitor,辵,9,6,1652,1975.0,ni4,ni
喘,chuǎn,pant/gasp/breathe heavily,口,12,6,2642,1977.0,chuan3,chuan
罩,zhào,basket for catching fish/cover,网,13,6,2933,1978.0,zhao4,zhao
炉,lú,fireplace/stove/oven/furnace,火,8,6,1238,1980.0,lu2,lu
胎,tāi,unborn child/embryo/fetus,肉,9,6,1598,1984.0,tai1,tai
蓄,xù,store/save/hoard/gather,艸,13,6,2856,1985.0,xu4,xu
竭,jié,put forth great effort/exhaust,立,14,6,3150,1987.0,jie2,jie
浑,hún,muddy/turbid/blend/merge/mix,水,9,6,1681,1991.0,hun2,hun
悦,yuè,pleased/contented/gratified,心,10,6,2096,1995.0,yue4,yue
诞,dàn,bear children/give birth/birth,言,8,6,1297,1997.0,dan4,dan
泡,pào,bubbles/suds/blister/soak,水,8,6,1251,2000.0,pao4,pao
贼,zéi,thief/traitor/kill,貝,10,6,1924,2001.0,zei2,zei
亭,tíng,pavilion/erect,亠,9,6,1620,2002.0,ting2,ting
酬,chóu,toast/reward/recompense,酉,13,6,2874,2005.0,chou2,chou
儒,rú,Confucian scholar,人,16,6,3361,2006.0,ru2,ru
泄,xiè,leak/vent/flow/reveal,水,8,6,1242,2010.0,xie4,xie
杆,gān,pole/shaft of spear,木,7,6,678,2011.0,gan1,gan
挨,āi,near/close by/next to/towards/against/to wait/to lean on,手,10,6,1815,2012.0,ai1,ai
吟,yín,sing/hum/recite/type of poetry,口,7,6,740,2015.0,yin2,yin
狭,xiá,narrow/limited/narrow-minded,犬,9,6,1600,2018.0,xia2,xia
肖,xiào,look like/resemble/be like,肉,7,6,713,2019.0,xiao4,xiao
霞,xiá,rosy clouds,雨,17,6,3400,2021.0,xia2,xia
驳,bó,varicolored/variegated/mixed,馬,7,6,935,2022.0,bo2,bo
裕,yù,abundant/rich/plentiful,衣,12,6,2790,2023.0,yu4,yu
顽,wán,obstinate/stubborn/recalcitrant,頁,10,6,1778,2024.0,wan2,wan
畜,chù,livestock/domestic animals,田,10,6,2047,2030.0,chu4,chu
咽,yàn,throat/pharynx,口,9,6,1504,2031.0,yan1,yan
勾,gōu,hook/join/connect/entice,勹,4,6,158,2034.0,gou1,gou
疆,jiāng,boundary/border/frontier,田,19,6,3472,2036.0,jiang1,jiang
赌,dǔ,bet/gamble/wager/compete,貝,12,6,2651,2037.0,du3,du
畏,wèi,fear/dread/awe/reverence,田,9,6,1492,2039.0,wei4,wei
泊,pō,anchor vessel/lie at anchor,水,8,6,1249,2043.0,bo2,bo
肺,fèi,lungs,肉,8,6,1181,2044.0,fei4,fei
缠,chán,wrap/wind around/tie/bind,糸,13,6,3046,2046.0,chan2,chan
瞪,dèng,stare at,目,17,6,3406,2049.0,deng4,deng
吊,diào,condole/mourn/pity/hang,口,6,6,428,2050.0,diao4,diao
斑,bān,mottled/striped/freckle,文,12,6,2505,2053.0,ban1,ban
涛,tāo,large waves,水,10,6,2065,2054.0,tao1,tao
俘,fú,prisoner of war/take as prisoner,人,9,6,1569,2057.0,fu2,fu
卑,bēi,humble/low/inferior/despise,十,8,6,1154,2059.0,bei1,bei
葬,zàng,bury/inter,艸,12,6,2548,2060.0,zang4,zang
铭,míng,inscribe/engrave,金,11,6,2307,2061.0,ming2,ming
蛮,mán,barbarians/barbarous/savage,虫,12,6,2727,2068.0,man2,man
歧,qí,fork of road/branching off,止,8,6,1066,2071.0,qi2,qi
廊,láng,corridor/porch/veranda,广,11,6,2384,2075.0,lang2,lang
灌,guàn,pour/water/irrigate/flood,水,20,6,3486,2077.0,guan4,guan
勉,miǎn,endeavor/make effort/urge,力,9,6,1599,2078.0,mian3,mian
盲,máng,blind/unperceptive/shortsighted,目,8,6,1222,2079.0,mang2,mang
宰,zǎi,to slaughter/to rule,宀,10,6,2106,2080.0,zai3,zai
啥,shà,what?,口,11,6,2290,2082.0,sha4,sha
胀,zhàng,swell/inflate/expand,肉,8,6,1184,2083.0,zhang4,zhang
扯,chě,rip up/tear down/raise/haul,手,7,6,624,2084.0,che3,che
辽,liáo,distant/far,辵,5,6,331,2086.0,liao2,liao
抹,mǒ,smear/apply/wipe off/erase,手,8,6,953,2087.0,mo3,mo
筒,tǒng,thick piece of bamboo/pipe,竹,12,6,2685,2088.0,tong3,tong
朴,pǔ,simple/unadorned/sincere/surname/a tree,木,6,6,376,2092.0,po4,po
咐,fù,instruct/order,口,8,6,1098,2093.0,fu4,fu
誓,shì,swear/pledge/oath,言,14,6,3060,2095.0,shi4,shi
喉,hóu,throat/gullet/larynx/guttural,口,12,6,2643,2096.0,hou2,hou
妄,wàng,absurd/foolish/reckless/false,女,6,6,526,2097.0,wang4,wang
拘,jū,restrain/seize/detain,手,8,6,976,2098.0,ju1,ju
驰,chí,go quickly or swiftly/hurry,馬,6,6,596,2100.0,chi2,chi
栏,lán,railing/balustrade/animal pan,木,9,6,1437,2101.0,lan2,lan
逝,shì,pass away/die,辵,10,6,1803,2102.0,shi4,shi
窃,qiè,secretly/stealthily/steal/thief,穴,9,6,1702,2103.0,qie4,qie
纤,xiān,fine/delicate/minute/graceful,糸,6,6,591,2106.0,xian1,xian
盈,yíng,fill/full/overflowing/surplus,皿,9,6,1745,2111.0,ying2,ying
瞬,shùn,wink/blink/in a wink/a flash,目,17,6,3403,2114.0,shun4,shun
婴,yīng,baby/infant/bother,女,11,6,2301,2115.0,ying1,ying
颈,jǐng,neck/throat,頁,11,6,2485,2117.0,jing3,jing
倘,tǎng,if/supposing/in event of,人,10,6,1961,2118.0,tang3,tang
蔽,bì,cover/hide/conceal/shelter,艸,14,6,3073,2121.0,bi4,bi
畅,chàng,smoothly/freely/unrestrained,日,8,6,1086,2122.0,chang4,chang
赠,zèng,give present/bestow/confer,貝,16,6,3351,2123.0,zeng4,zeng
跪,guì,kneel,足,13,6,2917,2128.0,gui4,gui
颠,diān,top/peak/summit/upset,頁,16,6,3327,2134.0,dian1,dian
遮,zhē,cover/shield/protect,辵,14,6,3143,2135.0,zhe1,zhe
吁,xū,,口,6,6,420,2138.0,xu1,xu
辟,pì,law/rule/open up/develop,辛,13,6,3037,2140.0,pi4,pi
瘤,liú,tumor/lump/goiter,疒,15,6,3282,2141.0,liu2,liu
嫂,sǎo,,女,12,6,2810,2142.0,sao3,sao
框,kuāng,frame/framework/door frame,木,10,6,1833,2144.0,kuang4,kuang
钦,qīn,respect/admire/respectful,金,9,6,1532,2147.0,qin1,qin
庸,yōng,usual/common/ordinary/mediocre,广,11,6,2386,2148.0,yong1,yong
吼,hǒu,roar/shout/bark/howl,口,7,6,749,2151.0,hou3,hou
